Gender,Standard,Institute type,Siblings,Father's job,Mother's job,English,Learning progress,Learning habit maintenance,Teacher influence,Parent influence,Sibling influence,Peer influence,Self-learning motivation,Concentration power,Family support,Effective learning environment,Daily learning objectives,Learning resources,Communication and collaboration with friends
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Three,Service,Service,Excellent,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,Others,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Good,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Good,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,Service,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Over four,Others,House wife,Average,Agree,Agree,Strongly agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Others,House wife,Good,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Neither agree nor disagree,Disagree,Strongly agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Three,Others,House wife,Average,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Three,Others,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Three,Others,House wife,Good,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Excellent,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Free,House wife,Average,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Average,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,Service,Good,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Three,Others,House wife,Average,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Free,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
